chunk_id,source_file,page_number,char_count,token_count
0,special/foreword.md,0,999,236
1,special/warning_signs.md,1,1181,407
2,special/table_of_contents.md,3,2175,796
3,sections/00_front_matter.md,2,593,240
4,sections/01_1_exterior_view.md,7,106,56
5,sections/01_1_exterior_view.md,7,105,61
6,sections/01_1_exterior_view.md,7,105,62
7,sections/02_2_tractor_identification.md,10,188,78
8,sections/02_2_tractor_identification.md,10,148,34
9,sections/02_2_tractor_identification.md,10,325,69
10,sections/03_3_about_this_manual.md,11,1490,309
11,sections/04_4_introduction_description.md,12,1909,493
12,sections/05_5_owner_assistance.md,14,1720,406
13,sections/06_6_rops_roll_over_protective_structure.md,15,1362,375
14,sections/06_6_rops_roll_over_protective_structure.md,15,858,212
15,sections/06_6_rops_roll_over_protective_structure.md,15,1196,381
16,sections/06_6_rops_roll_over_protective_structure.md,15,91,54
17,sections/07_7_seat_adjustment.md,17,888,253
18,sections/07_7_seat_adjustment.md,17,627,258
19,sections/08_1_safety_instructions.md,19,275,87
20,sections/08_1_safety_instructions.md,19,548,226
21,sections/08_1_safety_instructions.md,19,528,145
22,sections/08_1_safety_instructions.md,19,284,94
23,sections/08_1_safety_instructions.md,19,873,246
24,sections/08_1_safety_instructions.md,19,409,130
25,sections/08_1_safety_instructions.md,19,220,90
26,sections/08_1_safety_instructions.md,19,258,99
27,sections/08_1_safety_instructions.md,19,374,124
28,sections/08_1_safety_instructions.md,19,374,119
29,sections/08_1_safety_instructions.md,19,384,122
30,sections/08_1_safety_instructions.md,19,802,222
31,sections/08_1_safety_instructions.md,19,355,108
32,sections/08_1_safety_instructions.md,19,278,99
33,sections/08_1_safety_instructions.md,19,649,190
34,sections/08_1_safety_instructions.md,19,309,97
35,sections/08_1_safety_instructions.md,19,343,111
36,sections/08_1_safety_instructions.md,19,379,113
37,sections/08_1_safety_instructions.md,19,425,96
38,sections/08_1_safety_instructions.md,19,401,120
39,sections/08_1_safety_instructions.md,19,365,121
40,sections/08_1_safety_instructions.md,19,1605,570
41,sections/08_1_safety_instructions.md,19,934,246
42,sections/08_1_safety_instructions.md,19,412,109
43,sections/08_1_safety_instructions.md,19,396,127
44,sections/08_1_safety_instructions.md,19,584,164
45,sections/08_1_safety_instructions.md,19,2575,655
46,sections/09_2_safe_operation_of_your_tractor.md,32,1824,407
47,sections/09_2_safe_operation_of_your_tractor.md,32,10124,2347
48,sections/10_3_dos_don_ts.md,39,1270,292
49,sections/10_3_dos_don_ts.md,39,1142,330
50,sections/11_4_safety_decals.md,41,927,273
51,sections/11_4_safety_decals.md,41,3607,1051
52,sections/12_5_universal_symbols.md,46,14765,8370
53,sections/13_1_switches.md,49,100,59
54,sections/13_1_switches.md,49,481,147
55,sections/13_1_switches.md,49,1483,422
56,sections/13_1_switches.md,49,448,137
