source_file,chunks,tok_min,tok_max,tok_avg,tok_median,tok_total,char_avg,char_total
sections/00_front_matter.md,1,240,240,240,240,240,593,593
sections/01_1_exterior_view.md,3,56,62,59.7,61,179,105.3,316
sections/02_2_tractor_identification.md,3,34,78,60.3,69,181,220.3,661
sections/03_3_about_this_manual.md,1,309,309,309,309,309,1490,1490
sections/04_4_introduction_description.md,1,493,493,493,493,493,1909,1909
sections/05_5_owner_assistance.md,1,406,406,406,406,406,1720,1720
sections/06_6_rops_roll_over_protective_structure.md,4,54,381,255.5,293.5,1022,876.8,3507
sections/07_7_seat_adjustment.md,2,253,258,255.5,255.5,511,757.5,1515
sections/08_1_safety_instructions.md,27,87,655,171.5,121,4630,568.1,15339
sections/09_2_safe_operation_of_your_tractor.md,2,407,2347,1377,1377.0,2754,5974,11948
sections/10_3_dos_don_ts.md,2,292,330,311,311.0,622,1206,2412
sections/11_4_safety_decals.md,2,273,1051,662,662.0,1324,2267,4534
sections/12_5_universal_symbols.md,1,8370,8370,8370,8370,8370,14765,14765
sections/13_1_switches.md,8,59,863,258.9,152.5,2071,810.5,6484
sections/14_2_cluster_gauges.md,26,14,461,171.1,153.5,4448,454.8,11825
sections/15_3_control_instruments.md,34,83,1395,233.8,144.5,7949,722.8,24576
sections/16_4_three_point_linkage.md,9,61,478,177.3,165,1596,448.9,4040
sections/17_5_cabin.md,7,54,268,116,72,812,304.1,2129
sections/18_1_windshield_wiper_switch.md,1,132,132,132,132,132,516,516
sections/19_3_front_rear_work_lamp_switch.md,9,93,628,283.8,214,2554,892.7,8034
sections/20_1_start_stop_of_engine.md,5,81,369,189.2,151,946,681.8,3409
sections/21_2_operating_tractor.md,9,74,242,166.8,189,1501,569.9,5129
sections/22_3_operation_of_pto.md,3,81,666,348.3,298,1045,1125,3375
sections/23_4_operation_of_dpf.md,2,56,1425,740.5,740.5,1481,1344.5,2689
sections/24_5_implements.md,3,177,199,191.3,198,574,804,2412
sections/25_6_towing_the_tractor.md,3,129,573,364.7,392,1094,1232,3696
sections/26_7_checks_during_driving.md,6,36,193,120.2,107.5,721,372.5,2235
sections/27_8_work_procedures.md,2,191,270,230.5,230.5,461,854,1708
sections/28_1_sequential_returning_plowing_pattern.md,1,194,194,194,194,194,660,660
sections/29_2_alternating_returning_plowing_pattern.md,1,172,172,172,172,172,607,607
sections/30_3_land_leveling_pattern.md,1,793,793,793,793,793,2270,2270
sections/31_9_operation_tips.md,8,62,769,274.6,130.0,2197,842.4,6739
sections/32_1_maintenance_schedule.md,1,1915,1915,1915,1915,1915,3745,3745
sections/33_2_opening_covers.md,1,151,151,151,151,151,380,380
sections/34_3_check_servicing_for_each_part.md,32,62,1281,265.0,177.0,8479,845.4,27052
sections/35_3_greasing_each_part.md,2,41,117,79,79.0,158,227.5,455
sections/36_4_inspecting_electro_hydraulic_system.md,4,182,746,459,454.0,1836,1494.8,5979
sections/37_5_storing_the_tractor.md,4,140,307,242.2,261.0,969,881,3524
sections/38_1_before_using_the_product.md,2,178,718,448,448.0,896,1394,2788
sections/39_2_utilization_of_app.md,5,145,533,273.2,189,1366,908,4540
sections/40_3_phone_call_functions.md,6,100,396,158.7,113.0,952,474.2,2845
sections/41_4_status_of_the_tractor.md,4,136,574,353.8,352.5,1415,1131.2,4525
sections/42_5_system_setting.md,5,87,383,223.4,216,1117,670.4,3352
sections/43_1_introduction.md,1,87,87,87,87,87,248,248
sections/44_2_sign_up_login.md,18,19,191,81.8,72.0,1472,222.3,4001
sections/45_3_home_menu.md,15,14,210,98.3,86,1475,277.9,4169
sections/46_4_status_of_machine.md,8,67,256,143.4,127.0,1147,384.5,3076
sections/47_5_machine_management.md,8,18,165,64.2,59.5,514,186.9,1495
sections/48_6_work_sheet.md,9,13,654,177.2,19,1595,401.6,3614
sections/49_7_menu_more.md,24,12,232,90.1,83.0,2162,256.8,6163
sections/50_1_engine_troubleshooting.md,1,1089,1089,1089,1089,1089,4031,4031
sections/51_2_brake_troubleshooting.md,1,174,174,174,174,174,550,550
sections/52_3_clutch_troubleshooting.md,1,150,150,150,150,150,409,409
sections/53_4_steering_wheel_troubleshooting.md,1,186,186,186,186,186,613,613
sections/54_5_hydraulic_system_troubleshooting.md,1,300,300,300,300,300,985,985
sections/55_6_electric_system_troubleshooting.md,1,376,376,376,376,376,1328,1328
sections/56_7_air_conditioner_troubleshooting.md,1,616,616,616,616,616,1824,1824
sections/57_1_standard_for_farmwork.md,8,64,9699,1469.2,338.5,11754,3152.9,25223
sections/58_2_travelling_speed_table.md,1,592,592,592,592,592,1179,1179
sections/59_3_major_consumables.md,1,458,458,458,458,458,826,826
sections/60_4_emission_system_warranty.md,4,156,590,316.2,259.5,1265,1103.2,4413
sections/61_5_statements.md,2,314,8739,4526.5,4526.5,9053,11245,22490
special/foreword.md,1,236,236,236,236,236,999,999
special/table_of_contents.md,1,796,796,796,796,796,2175,2175
special/warning_signs.md,1,407,407,407,407,407,1181,1181
